City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Barra Do Garcas,BR,72.43,heavy intensity rain,-15.89,-52.2567,Pousada Tropical
68,Padang,ID,86.05,light rain,-0.9492,100.3543,Mercure Padang
69,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
72,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
73,Libertad,PH,88.29,broken clouds,8.9442,125.5019,Almont City Hotel
74,Jacmel,HT,73.24,few clouds,18.2342,-72.5347,Historic Hotel Florita
75,Cairns,AU,89.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
79,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
80,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Sao Filipe,CV,71.58,clear sky,14.8961,-24.4956,Hotel Xaguate
83,Kavaratti,IN,78.01,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
86,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
87,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
90,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
91,Grand-Lahou,CI,78.13,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
92,San Policarpo,PH,80.71,broken clouds,12.1791,125.5072,Agapita M. Nicart
94,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
95,Ahuimanu,US,76.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
99,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
100,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
102,Vinhedo,BR,72.64,overcast clouds,-23.0297,-46.9753,Hotel Villagio D'Itália
105,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
108,George Town,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
109,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
112,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
114,Dhidhdhoo,MV,80.46,few clouds,6.8833,73.1,Dhidhoo beach
115,Chicama,PE,71.22,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
117,Ahipara,NZ,75.24,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
121,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Lorengau,PG,84.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
123,Dok Kham Tai,TH,78.98,broken clouds,19.1624,99.9934,โรงแรมวีซี ดอกคำใต้ พะเยา
126,Basco,PH,73.47,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
127,Bengkulu,ID,84.24,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
140,Kavieng,PG,83.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
143,Namatanai,PG,85.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
151,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
152,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
154,Waingapu,ID,88.21,few clouds,-9.6567,120.2641,Pondok Wisata Elim
155,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
160,Port Hedland,AU,82.45,moderate rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
162,Maragogi,BR,79.18,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
169,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
177,Marsh Harbour,BS,73.6,few clouds,26.5412,-77.0636,Abaco Beach Resort
181,Rock Sound,BS,74.52,clear sky,24.9,-76.2,Pink Corral Bay Property
187,Khuldabad,IN,74.32,few clouds,20.05,75.1833,Capital O 29643 Etranger Resort
190,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
192,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
199,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
203,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
204,Lorengau,PG,84.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Surat,IN,73.38,haze,21.1667,72.8333,HOTEL RUCHIRAJ
207,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
210,Byron Bay,AU,79.05,light rain,-28.65,153.6167,Backpackers Inn
217,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
220,Barra Do Garcas,BR,72.43,heavy intensity rain,-15.89,-52.2567,Pousada Tropical
222,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
225,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
229,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
236,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
241,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
